"","id","first","last","hand","DOB","country","year","month","day"
"4204","204203","Andrea","Schwarz","U",NA,"SUI",1978,12,8
"4205","204204","Diane","Asensio","U",NA,"SUI",1980,1,10
"4206","204205","Angela","Buergis","U",NA,"SUI",1979,11,3
"4207","204206","Cacilia","Charbonnier","U",NA,"SUI",1981,12,7
"4208","204207","Cristelle","Grier","U",NA,"GBR",1983,1,30
"4209","204208","Lauren","Cheung","R",NA,"AUS",1984,4,11
"4210","204209","Gabrielle","Baker","R",NA,"AUS",1984,7,16
"4211","204210","Anna","Hawkins","R",NA,"GBR",1984,7,7
"4212","204211","Lara","Giltinan","R",NA,"AUS",1986,2,3
"4213","204212","Holly","Bagshaw","R",NA,"GBR",1986,1,22
"4214","204213","Chantal","Coombs","R",NA,"GBR",1981,7,2
"4215","204214","Alice","Mackenzie","U",NA,"GBR",1986,9,13
"4216","204215","Helen","Fritche","L",NA,"GBR",1985,4,11
"4217","204216","Alenka","Hubacek","R",NA,"AUS",1990,11,24
"4218","204217","Julia","Bone","R",NA,"GBR",1988,7,6
"4219","204218","Brittany","Sheed","U",NA,"AUS",1991,7,14
"4220","204219","Chloe","Babet","R",NA,"FRA",1992,3,6
"4221","204220","Dianne","Hollands","R",NA,"NZL",1983,5,11
"4222","204221","Kairangi","Vano","R",NA,"NZL",1989,11,8
"4223","204222","Tyra","Calderwood","R",NA,"AUS",1990,9,19
"4224","204223","Peangtarn","Plipuech","U",NA,"THA",1992,11,15
"4225","204224","Kanyapat","Narattana","R",NA,"THA",1992,9,14
"4226","204225","Alina","Tseplukhova","U",NA,"RUS",1990,5,26
"4227","204226","Sophia","Mulsap","U",NA,"THA",1990,6,6
"4228","204227","Satjaporn","Mahajaroenkul","U",NA,"THA",1991,5,2
"4229","204228","Nikarat","Wateenukit","U",NA,"THA",1993,9,18
"4230","204229","Pairin","Panjasilpa","R",NA,"THA",1989,12,13
"4231","204230","Ines","Janbakhsh","U",NA,"GBR",1990,10,9
"4232","204231","Samantha","Powers","U",NA,"USA",1989,5,9
"4233","204232","Paula Catalina","Robles Garcia","R",NA,"COL",1989,7,19
"4234","204233","Ingrid Esperanza","Vargas Calvo","U",NA,"PER",1989,12,27
"4235","204234","Karen Johanna","Ramirez Rivera","R",NA,"COL",1990,12,12
"4236","204235","Victoria","Lozano","U",NA,"MEX",1991,6,14
"4237","204236","Ivette","Lopez","R",NA,"MEX",1990,7,12
"4238","204237","Diana","Arutyunova","L",NA,"RUS",1985,9,2
"4239","204238","Isabell","Seidlitz","R",NA,"GER",1991,8,28
"4240","204239","Anne Priska","Schaefer","U",NA,"GER",1984,1,11
"4241","204240","Intissar","Rassif","U",NA,"MAR",1995,4,24
"4242","204241","Fatyha","Berjane","U",NA,"MAR",1994,11,14
"4243","204242","Ana","Claro","R",NA,"POR",1992,10,25
"4244","204243","Tara","Wigan","R",NA,"GBR",1986,3,26
"4245","204244","Catarina","Ferreira","R",NA,"POR",1984,2,9
"4246","204245","Joana","Pangaio Pereira","R",NA,"POR",1987,12,27
"4247","204246","Lesley","Kerkhove","R",NA,"NED",1991,11,4
"4248","204247","Yvett","Imre","R",NA,"HUN",1991,7,12
"4249","204248","Blanka","Szavay","U",NA,"HUN",1993,10,24
"4250","204249","Csilla","Argyelan","R",NA,"HUN",1990,11,11
"4251","204250","Joanna","Szymczyk","U",NA,"POL",1989,4,10
"4252","204251","Joanna","Nalborska","R",NA,"POL",1993,7,25
"4253","204252","Madeleine","Saari Bystrom","R",NA,"SWE",1990,7,5
"4254","204253","Caroline","Magnusson","R",NA,"SWE",1990,1,1
"4255","204254","Marlot","Meddens","R",NA,"NED",1989,4,21
"4256","204255","Paulina","Milosavljevic","U",NA,"SWE",1991,10,7
"4257","204256","Annie","Goransson","R",NA,"SWE",1989,8,19
"4258","204257","Jennie","Brobeck","U",NA,"SWE",1991,1,4
"4259","204258","Mariangela","Avola","U",NA,"ITA",1987,5,14
"4260","204259","Simona","Struzzolino","R",NA,"ITA",1989,1,13
"4261","204260","Stephanie","Hirsch","R",NA,"AUT",1992,10,16
"4262","204261","Jeannine","Prentner","R",NA,"AUT",1990,7,5
"4263","204262","Karolina","Nowak","R",NA,"GER",1984,7,26
"4264","204263","Janina","Toljan","R",NA,"AUT",1990,3,27
"4265","204264","Lisa","Summerer","U",NA,"AUT",1990,4,30
"4266","204265","Martina","Borecka","R",NA,"CZE",1991,5,19
"4267","204266","Dominika","Kanakova","R",NA,"CZE",1991,2,25
"4268","204267","Petra","Krejsova","R",NA,"CZE",1990,6,30
"4269","204268","Natalie","Proese","R",NA,"GER",1990,9,27
"4270","204269","Daniela","Islamaj","U",NA,"ALB",1990,2,14
"4271","204270","Skye","Hopper","R",NA,"AUS",1995,2,21
"4272","204271","Biljana","Pawlowa Dimitrova","R",NA,"BUL",1978,1,20
"4273","204272","Jade","Hopper","R",NA,"AUS",1991,7,13
"4274","204273","Tristen Z","Dewar","U",NA,"USA",1994,5,1
"4275","204274","Rachel","Kahan","U",NA,"USA",1992,7,19
"4276","204275","Zi Jun","Yang","U",NA,"HKG",1990,2,8
"4277","204276","Yingying","Xi","U",NA,"CHN",1990,5,15
"4278","204277","Chu Xian","Huang","U",NA,"CHN",1990,1,22
"4279","204278","Yue","Wan","R",NA,"CHN",1988,10,9
"4280","204279","Dominique","Harmath","U",NA,"CAN",1992,1,23
"4281","204280","Dredi Inia","Ghinda","U",NA,"CAN",1990,4,1
"4282","204281","Marie Frederique","Bedard","R",NA,"CAN",1992,4,8
"4283","204282","Anastasiya","Prenko","U",NA,"TKM",1993,3,12
"4284","204283","Lola","Azimova","R",NA,"UZB",1992,2,26
"4285","204284","Elen","Chelidze","R",NA,"RUS",1992,2,16
"4286","204285","Ji Young","Kim","R",NA,"KOR",1985,9,17
"4287","204286","Seung Yeon","Hong","U",NA,"KOR",1992,4,17
"4288","204287","Ha Young","Ji","U",NA,"KOR",1994,3,14
"4289","204288","Ji Hee","Choi","R",NA,"KOR",1995,2,10
"4290","204289","Mi Rae","Ham","U",NA,"KOR",1990,11,3
"4291","204290","Min Hwa","Yu","U",NA,"KOR",1988,3,25
"4292","204291","Na Lae","Han","L",NA,"KOR",1992,7,6
"4293","204292","Hyojung","Yea","U",NA,"KOR",1994,2,13
"4294","204293","Seo Kyung","Kang","U",NA,"KOR",1989,1,29
"4295","204294","Su Jeong","Jang","R",NA,"KOR",1995,3,13
"4296","204295","Christine","Kandler","R",NA,"AUT",1994,9,22
"4297","204296","Sarah","Tremuth","U",NA,"LUX",1994,2,8
"4298","204297","Anna Arina","Marenko","R",NA,"RUS",1992,1,2
"4299","204298","Viktorija","Rajicic","R",NA,"AUS",1994,4,7
"4300","204299","Ashling","Sumner","R",NA,"AUS",1992,12,25
"4301","204300","Alyssa","Hibberd","R",NA,"AUS",1992,6,12
"4302","204301","Barbara","Bonic","R",NA,"SRB",1992,6,4
"4303","204302","Ashley","Murdock","R",NA,"USA",1987,11,6
"4304","204303","Alexandra","Anghelescu","R",NA,"USA",1992,2,23
"4305","204304","Jawairiah","Noordin","R",NA,"MAS",1990,10,8
"4306","204305","Sharifah Syafeenaz","Syed Azmir","U",NA,"MAS",1994,4,28
"4307","204306","Trang","Huynh Phuong Dai","R",NA,"VIE",1993,8,1
"4308","204307","Neesha","Thirumalaichelvam","R",NA,"MAS",1991,12,20
"4309","204308","Nadine","Ruegg","R",NA,"MEX",1991,12,22
"4310","204309","Stephanie","Wagner","R",NA,"GER",1994,9,17
"4311","204310","Camilia","Benabdeljalil","U",NA,"MAR",1993,3,10
"4312","204311","Aline","Pinheiro","R",NA,"BRA",1981,6,24
"4313","204312","Fatem Zahra","Erraji","R",NA,"MAR",1994,10,31
"4314","204313","Rita","Esteves De Freitas","R",NA,"POR",1986,6,7
"4315","204314","Rita","Vilaca","L",NA,"POR",1993,9,7
"4316","204315","Patricia","Martins","R",NA,"POR",1994,6,28
"4317","204316","Beatriz","Machado Santos","U",NA,"POR",1995,6,8
"4318","204317","Beatriz Valente","De Castro Coelho","U",NA,"POR",1994,2,16
"4319","204318","Margarida","Moura","R",NA,"POR",1993,7,30
"4320","204319","Sofia","Araujo","U",NA,"POR",1994,11,30
"4321","204320","Maria","Palhoto","R",NA,"POR",1994,7,22
"4322","204321","Klaudia","Gawlik","U",NA,"POL",1992,4,1
"4323","204322","Agata","Baranska","R",NA,"POL",1993,12,23
"4324","204323","Zsofia","Susanyi","R",NA,"HUN",1992,2,16
"4325","204324","Caroline","Kallberg","U",NA,"SWE",1995,3,20
"4326","204325","Gabriele","Bertasiute","L",NA,"SWE",1995,11,16
"4327","204326","Alina","Yanovskaya","R",NA,"RUS",1992,12,24
"4328","204327","Mai","Grage","R",NA,"DEN",1992,4,18
"4329","204328","Costanza","Bruno De Lisi","U",NA,"ITA",1993,1,9
"4330","204329","Kimberley","Cassar","R",NA,"MLT",1992,5,7
"4331","204330","Alice","Savoretti","R",NA,"ITA",1992,6,17
"4332","204331","Chelsea","Te Tai","R",NA,"NZL",1992,9,18
"4333","204332","Natalie","Dillon","U",NA,"USA",1991,8,1
"4334","204333","Lindsay","Burdette","R",NA,"USA",1988,2,26
"4335","204334","Derja","Turhan","R",NA,"TUR",1992,9,28
"4336","204335","Seda","Arantekin","R",NA,"TUR",1994,8,8
"4337","204336","Cecilie Lundgaard","Melsted","U",NA,"DEN",1995,2,5
"4338","204337","Amelia","Herring","U",NA,"USA",1992,8,2
"4339","204338","Nazari","Urbina","R",NA,"MEX",1989,6,12
"4340","204339","Yue","Fei","U",NA,"CHN",1993,8,22
"4341","204340","Bao Yi","Xu","U",NA,"CHN",1992,3,5
"4342","204341","Zhen","Yan","U",NA,"CHN",1993,2,19
"4343","204342","Nan Nan","Zhang","R",NA,"CHN",1992,1,8
"4344","204343","Xiaojing","Lu","U",NA,"CHN",NA,NA,NA
"4345","204344","Nigina","Rahmanova","U",NA,"UZB",1992,12,16
"4346","204345","Polina","Merenkova","U",NA,"UZB",1995,11,11
"4347","204346","Valeriya","Korotina","U",NA,"UZB",1996,8,13
"4348","204347","Rano","Nizamova","U",NA,"UZB",1994,12,9
"4349","204348","Elena","Zenko","U",NA,"UZB",1993,5,17
"4350","204349","Viktoriya","Karmenova","R",NA,"UZB",1993,12,2
"4351","204350","Viktoriya","Serenkova","U",NA,"RUS",1992,2,17
"4352","204351","Lisa Maria","Reichmann","R",NA,"AUT",1990,7,11
"4353","204352","Yvonne","Neuwirth","U",NA,"AUT",1992,8,4
"4354","204353","Chihiro","Nunome","U",NA,"JPN",1992,6,26
"4355","204354","Leela","Beattie","U",NA,"NZL",1994,2,9
"4356","204355","Katherine","Westbury","R",NA,"THA",1993,3,14
